Current Pose: X: -0.330545, Y: -0.394929, Z: 0.901626, Yaw: 1.46495, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495818, Y: 0.592393, Z: -1.35244, Velocity_in: X: -0.00200646, Y: -0.00319455, Z: 0.00819801, Error: X: 0.330545, Y: 0.394929, Z: -0.901626, 
Current Pose: X: -0.330664, Y: -0.395042, Z: 0.902188, Yaw: 1.46498, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.495995, Y: 0.592562, Z: -1.35328, Velocity_in: X: -0.00193058, Y: -0.00319994, Z: 0.00776476, Error: X: 0.330664, Y: 0.395042, Z: -0.902188, 
Current Pose: X: -0.330772, Y: -0.395155, Z: 0.902809, Yaw: 1.46497, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496159, Y: 0.592733, Z: -1.35421, Velocity_in: X: -0.00184191, Y: -0.00315704, Z: 0.00790166, Error: X: 0.330772, Y: 0.395155, Z: -0.902809, 
Current Pose: X: -0.330855, Y: -0.395237, Z: 0.903317, Yaw: 1.46502, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496282, Y: 0.592856, Z: -1.35498, Velocity_in: X: -0.00180545, Y: -0.00329617, Z: 0.0080356, Error: X: 0.330855, Y: 0.395237, Z: -0.903317, 
Current Pose: X: -0.330951, Y: -0.39535, Z: 0.904063, Yaw: 1.46502, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496426, Y: 0.593026, Z: -1.35609, Velocity_in: X: -0.00199542, Y: -0.00321396, Z: 0.00770378, Error: X: 0.330951, Y: 0.39535, Z: -0.904063, 
Current Pose: X: -0.331048, Y: -0.395449, Z: 0.904736, Yaw: 1.46503, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496572, Y: 0.593174, Z: -1.3571, Velocity_in: X: -0.0017535, Y: -0.00329471, Z: 0.0073811, Error: X: 0.331048, Y: 0.395449, Z: -0.904736, 
Current Pose: X: -0.331118, Y: -0.395517, Z: 0.905221, Yaw: 1.46506, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496676, Y: 0.593275, Z: -1.35783, Velocity_in: X: -0.00182485, Y: -0.00332868, Z: 0.0076403, Error: X: 0.331118, Y: 0.395517, Z: -0.905221, 
Current Pose: X: -0.331219, Y: -0.395585, Z: 0.905719, Yaw: 1.46512, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496828, Y: 0.593378, Z: -1.35858, Velocity_in: X: -0.00143443, Y: -0.0027907, Z: 0.00766972, Error: X: 0.331219, Y: 0.395585, Z: -0.905719, 
Current Pose: X: -0.331317, Y: -0.395636, Z: 0.906161, Yaw: 1.46513, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.496975, Y: 0.593455, Z: -1.35924, Velocity_in: X: -0.00109721, Y: -0.00295624, Z: 0.00769372, Error: X: 0.331317, Y: 0.395636, Z: -0.906161, 
Current Pose: X: -0.331408, Y: -0.395678, Z: 0.906567, Yaw: 1.46512, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497111, Y: 0.593517, Z: -1.35985, Velocity_in: X: -0.00100795, Y: -0.00260776, Z: 0.0077851, Error: X: 0.331408, Y: 0.395678, Z: -0.906567, 
Current Pose: X: -0.331459, Y: -0.39571, Z: 0.906976, Yaw: 1.46511, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497188, Y: 0.593565, Z: -1.36046, Velocity_in: X: -0.000753765, Y: -0.00308459, Z: 0.00751043, Error: X: 0.331459, Y: 0.39571, Z: -0.906976, 
Current Pose: X: -0.331494, Y: -0.395763, Z: 0.907506, Yaw: 1.46511, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497241, Y: 0.593644, Z: -1.36126, Velocity_in: X: -0.000783168, Y: -0.00309346, Z: 0.00775131, Error: X: 0.331494, Y: 0.395763, Z: -0.907506, 
Current Pose: X: -0.331522, Y: -0.395817, Z: 0.908059, Yaw: 1.46514, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497284, Y: 0.593726, Z: -1.36209, Velocity_in: X: -0.00116233, Y: -0.00350021, Z: 0.00789374, Error: X: 0.331522, Y: 0.395817, Z: -0.908059, 
Current Pose: X: -0.331545, Y: -0.395855, Z: 0.908373, Yaw: 1.46521, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497317, Y: 0.593782, Z: -1.36256, Velocity_in: X: -0.00103356, Y: -0.00361451, Z: 0.00779998, Error: X: 0.331545, Y: 0.395855, Z: -0.908373, 
Current Pose: X: -0.33158, Y: -0.395903, Z: 0.908763, Yaw: 1.46523, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49737, Y: 0.593855, Z: -1.36314, Velocity_in: X: -0.000915343, Y: -0.00328518, Z: 0.00768668, Error: X: 0.33158, Y: 0.395903, Z: -0.908763, 
Current Pose: X: -0.331627, Y: -0.39596, Z: 0.909228, Yaw: 1.46525, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49744, Y: 0.593941, Z: -1.36384, Velocity_in: X: -0.00113595, Y: -0.0032017, Z: 0.00785186, Error: X: 0.331627, Y: 0.39596, Z: -0.909228, 
Current Pose: X: -0.331685, Y: -0.396017, Z: 0.909673, Yaw: 1.46526, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497527, Y: 0.594025, Z: -1.36451, Velocity_in: X: -0.000928256, Y: -0.00269297, Z: 0.00809411, Error: X: 0.331685, Y: 0.396017, Z: -0.909673, 
Current Pose: X: -0.331753, Y: -0.396062, Z: 0.910045, Yaw: 1.46532, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497629, Y: 0.594093, Z: -1.36507, Velocity_in: X: -0.0010537, Y: -0.00249274, Z: 0.00769876, Error: X: 0.331753, Y: 0.396062, Z: -0.910045, 
Current Pose: X: -0.331797, Y: -0.3961, Z: 0.910334, Yaw: 1.46532, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497695, Y: 0.59415, Z: -1.3655, Velocity_in: X: -0.00142916, Y: -0.00254856, Z: 0.00793992, Error: X: 0.331797, Y: 0.3961, Z: -0.910334, 
Current Pose: X: -0.33188, Y: -0.396145, Z: 0.910609, Yaw: 1.46531, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.49782, Y: 0.594217, Z: -1.36591, Velocity_in: X: -0.00155672, Y: -0.00250422, Z: 0.00827611, Error: X: 0.33188, Y: 0.396145, Z: -0.910609, 
Current Pose: X: -0.331959, Y: -0.396191, Z: 0.910974, Yaw: 1.46539, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.497938, Y: 0.594287, Z: -1.36646, Velocity_in: X: -0.00133204, Y: -0.00245237, Z: 0.00817, Error: X: 0.331959, Y: 0.396191, Z: -0.910974, 
Current Pose: X: -0.332033, Y: -0.396214, Z: 0.911172, Yaw: 1.46538, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.498049, Y: 0.59432, Z: -1.36676, Velocity_in: X: -0.00102843, Y: -0.00193515, Z: 0.007568, Error: X: 0.332033, Y: 0.396214, Z: -0.911172, 
