Current Pose: X: 0.00202542, Y: -0.0072616, Z: -3.45612, Yaw: 1.87934, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00202542, Y: 0.0072616, Z: 3.45612, Velocity_in: X: -0.00356611, Y: -0.000322448, Z: -0.0030403, Error: X: -0.00202542, Y: 0.0072616, Z: 3.45612, 
Current Pose: X: 0.00199877, Y: -0.00726371, Z: -3.45632, Yaw: 1.87931, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00199877, Y: 0.00726371, Z: 3.45632, Velocity_in: X: -0.00393363, Y: 0.000202861, Z: -0.00370789, Error: X: -0.00199877, Y: 0.00726371, Z: 3.45632, 
Current Pose: X: 0.00197169, Y: -0.00729296, Z: -3.45658, Yaw: 1.87936, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00197169, Y: 0.00729296, Z: 3.45658, Velocity_in: X: -0.00388606, Y: 0.000119391, Z: -0.00374547, Error: X: -0.00197169, Y: 0.00729296, Z: 3.45658, 
Current Pose: X: 0.00195461, Y: -0.00732652, Z: -3.45681, Yaw: 1.87936, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00195461, Y: 0.00732652, Z: 3.45681, Velocity_in: X: -0.00419621, Y: 0.000103517, Z: -0.00328639, Error: X: -0.00195461, Y: 0.00732652, Z: 3.45681, 
Current Pose: X: 0.0019431, Y: -0.00737244, Z: -3.45694, Yaw: 1.87935, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0019431, Y: 0.00737244, Z: 3.45694, Velocity_in: X: -0.00408469, Y: 0.000202831, Z: -0.00367172, Error: X: -0.0019431, Y: 0.00737244, Z: 3.45694, 
Current Pose: X: 0.00193526, Y: -0.0074483, Z: -3.45712, Yaw: 1.87933, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00193526, Y: 0.0074483, Z: 3.45712, Velocity_in: X: -0.00471557, Y: 0.000277466, Z: -0.00367404, Error: X: -0.00193526, Y: 0.0074483, Z: 3.45712, 
Current Pose: X: 0.00193887, Y: -0.00754282, Z: -3.45733, Yaw: 1.87937, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00193887, Y: 0.00754282, Z: 3.45733, Velocity_in: X: -0.00504199, Y: 0.000225806, Z: -0.00364338, Error: X: -0.00193887, Y: 0.00754282, Z: 3.45733, 
Current Pose: X: 0.00193275, Y: -0.00757545, Z: -3.45758, Yaw: 1.87937, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00193275, Y: 0.00757545, Z: 3.45758, Velocity_in: X: -0.00517748, Y: 0.000236081, Z: -0.00372706, Error: X: -0.00193275, Y: 0.00757545, Z: 3.45758, 
Current Pose: X: 0.00192551, Y: -0.00759086, Z: -3.45782, Yaw: 1.87939, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00192551, Y: 0.00759086, Z: 3.45782, Velocity_in: X: -0.00519082, Y: 0.00036048, Z: -0.00367096, Error: X: -0.00192551, Y: 0.00759086, Z: 3.45782, 
Current Pose: X: 0.00191865, Y: -0.00763681, Z: -3.45809, Yaw: 1.87935, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00191865, Y: 0.00763681, Z: 3.45809, Velocity_in: X: -0.00513054, Y: 0.000308383, Z: -0.00369512, Error: X: -0.00191865, Y: 0.00763681, Z: 3.45809, 
Current Pose: X: 0.0019231, Y: -0.00768063, Z: -3.45834, Yaw: 1.87935, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0019231, Y: 0.00768063, Z: 3.45834, Velocity_in: X: -0.00532837, Y: 0.000262867, Z: -0.00364098, Error: X: -0.0019231, Y: 0.00768063, Z: 3.45834, 
Current Pose: X: 0.00193157, Y: -0.00774171, Z: -3.45864, Yaw: 1.87936, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00193157, Y: 0.00774171, Z: 3.45864, Velocity_in: X: -0.00504778, Y: -6.89237e-05, Z: -0.004024, Error: X: -0.00193157, Y: 0.00774171, Z: 3.45864, 
