Current Pose: X: -0.735911, Y: 0.792299, Z: -1.32252, Yaw: 1.76971, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735911, Y: -0.792299, Z: 1.32252, Velocity_in: X: -0.000836822, Y: -0.00270012, Z: 0.00320236, Error: X: 0.735911, Y: -0.792299, Z: 1.32252, 
Current Pose: X: -0.735911, Y: 0.792257, Z: -1.32247, Yaw: 1.76968, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735911, Y: -0.792257, Z: 1.32247, Velocity_in: X: -0.000592049, Y: -0.00244762, Z: 0.00350289, Error: X: 0.735911, Y: -0.792257, Z: 1.32247, 
Current Pose: X: -0.735907, Y: 0.792217, Z: -1.32241, Yaw: 1.76966, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735907, Y: -0.792217, Z: 1.32241, Velocity_in: X: -0.000189458, Y: -0.00251582, Z: 0.00302357, Error: X: 0.735907, Y: -0.792217, Z: 1.32241, 
Current Pose: X: -0.735913, Y: 0.792182, Z: -1.32235, Yaw: 1.76967, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735913, Y: -0.792182, Z: 1.32235, Velocity_in: X: -0.000255379, Y: -0.00223092, Z: 0.00336819, Error: X: 0.735913, Y: -0.792182, Z: 1.32235, 
Current Pose: X: -0.735918, Y: 0.792158, Z: -1.32236, Yaw: 1.76965, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735918, Y: -0.792158, Z: 1.32236, Velocity_in: X: 6.71818e-05, Y: -0.00184728, Z: 0.00317539, Error: X: 0.735918, Y: -0.792158, Z: 1.32236, 
Current Pose: X: -0.735931, Y: 0.792142, Z: -1.32238, Yaw: 1.76962, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735931, Y: -0.792142, Z: 1.32238, Velocity_in: X: -3.29821e-05, Y: -0.00159752, Z: 0.00343544, Error: X: 0.735931, Y: -0.792142, Z: 1.32238, 
Current Pose: X: -0.735976, Y: 0.792124, Z: -1.32246, Yaw: 1.76968, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.735976, Y: -0.792124, Z: 1.32246, Velocity_in: X: 0.00012429, Y: -0.00140626, Z: 0.00347747, Error: X: 0.735976, Y: -0.792124, Z: 1.32246, 
Current Pose: X: -0.736057, Y: 0.792095, Z: -1.32261, Yaw: 1.76969, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736057, Y: -0.792095, Z: 1.32261, Velocity_in: X: 0.000210079, Y: -0.000803253, Z: 0.00331348, Error: X: 0.736057, Y: -0.792095, Z: 1.32261, 
Current Pose: X: -0.736128, Y: 0.792063, Z: -1.32267, Yaw: 1.76968, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736128, Y: -0.792063, Z: 1.32267, Velocity_in: X: -8.02928e-05, Y: -0.000318413, Z: 0.00331585, Error: X: 0.736128, Y: -0.792063, Z: 1.32267, 
Current Pose: X: -0.736224, Y: 0.792006, Z: -1.32265, Yaw: 1.76972, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736224, Y: -0.792006, Z: 1.32265, Velocity_in: X: -0.000370266, Y: -4.94518e-05, Z: 0.00364586, Error: X: 0.736224, Y: -0.792006, Z: 1.32265, 
Current Pose: X: -0.736321, Y: 0.79195, Z: -1.3228, Yaw: 1.76974, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736321, Y: -0.79195, Z: 1.3228, Velocity_in: X: -0.000347822, Y: 0.000216397, Z: 0.00345596, Error: X: 0.736321, Y: -0.79195, Z: 1.3228, 
Current Pose: X: -0.73639, Y: 0.791909, Z: -1.32293, Yaw: 1.76974, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.73639, Y: -0.791909, Z: 1.32293, Velocity_in: X: -0.000605105, Y: -0.000160681, Z: 0.00365182, Error: X: 0.73639, Y: -0.791909, Z: 1.32293, 
Current Pose: X: -0.736462, Y: 0.791855, Z: -1.32304, Yaw: 1.76976, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736462, Y: -0.791855, Z: 1.32304, Velocity_in: X: -0.000332718, Y: 0.000104006, Z: 0.00340036, Error: X: 0.736462, Y: -0.791855, Z: 1.32304, 
Current Pose: X: -0.736515, Y: 0.791803, Z: -1.32302, Yaw: 1.76977, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736515, Y: -0.791803, Z: 1.32302, Velocity_in: X: -0.000229859, Y: 0.000195299, Z: 0.00330717, Error: X: 0.736515, Y: -0.791803, Z: 1.32302, 
Current Pose: X: -0.736564, Y: 0.791742, Z: -1.3229, Yaw: 1.76973, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736564, Y: -0.791742, Z: 1.3229, Velocity_in: X: -0.000323318, Y: -0.00017312, Z: 0.00349157, Error: X: 0.736564, Y: -0.791742, Z: 1.3229, 
Current Pose: X: -0.736595, Y: 0.791694, Z: -1.32284, Yaw: 1.76971, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736595, Y: -0.791694, Z: 1.32284, Velocity_in: X: -0.000735985, Y: -0.000139855, Z: 0.00373159, Error: X: 0.736595, Y: -0.791694, Z: 1.32284, 
Current Pose: X: -0.736642, Y: 0.791642, Z: -1.32284, Yaw: 1.76973, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736642, Y: -0.791642, Z: 1.32284, Velocity_in: X: -0.000598362, Y: -0.000180124, Z: 0.00375249, Error: X: 0.736642, Y: -0.791642, Z: 1.32284, 
Current Pose: X: -0.736688, Y: 0.791595, Z: -1.32294, Yaw: 1.76975, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736688, Y: -0.791595, Z: 1.32294, Velocity_in: X: -0.000323281, Y: -0.000193543, Z: 0.00363131, Error: X: 0.736688, Y: -0.791595, Z: 1.32294, 
Current Pose: X: -0.73673, Y: 0.791563, Z: -1.32297, Yaw: 1.76974, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.73673, Y: -0.791563, Z: 1.32297, Velocity_in: X: -0.000260281, Y: -0.000256804, Z: 0.00370295, Error: X: 0.73673, Y: -0.791563, Z: 1.32297, 
Current Pose: X: -0.736784, Y: 0.791514, Z: -1.32293, Yaw: 1.76972, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.736784, Y: -0.791514, Z: 1.32293, Velocity_in: X: -0.000259863, Y: 9.99409e-05, Z: 0.00364009, Error: X: 0.736784, Y: -0.791514, Z: 1.32293, 
