Current Pose: X: -0.032732, Y: -0.102487, Z: -4.21834, Yaw: 1.75501, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.032732, Y: 0.102487, Z: 4.21834, Velocity_in: X: -0.00256541, Y: -4.91209e-05, Z: 0.00224929, Error: X: 0.032732, Y: 0.102487, Z: 4.21834, 
Current Pose: X: -0.0327197, Y: -0.102504, Z: -4.21865, Yaw: 1.75501, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327197, Y: 0.102504, Z: 4.21865, Velocity_in: X: -0.00233363, Y: -0.00026734, Z: 0.00226178, Error: X: 0.0327197, Y: 0.102504, Z: 4.21865, 
Current Pose: X: -0.0327027, Y: -0.102536, Z: -4.21916, Yaw: 1.75502, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0327027, Y: 0.102536, Z: 4.21916, Velocity_in: X: -0.00249083, Y: -0.000339909, Z: 0.00235689, Error: X: 0.0327027, Y: 0.102536, Z: 4.21916, 
Current Pose: X: -0.0326818, Y: -0.102568, Z: -4.21963, Yaw: 1.75506, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326818, Y: 0.102568, Z: 4.21963, Velocity_in: X: -0.00237633, Y: -0.000515688, Z: 0.00217297, Error: X: 0.0326818, Y: 0.102568, Z: 4.21963, 
Current Pose: X: -0.0326575, Y: -0.102596, Z: -4.21992, Yaw: 1.75516, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326575, Y: 0.102596, Z: 4.21992, Velocity_in: X: -0.00271021, Y: -0.000663164, Z: 0.00254019, Error: X: 0.0326575, Y: 0.102596, Z: 4.21992, 
Current Pose: X: -0.0326245, Y: -0.102631, Z: -4.22025, Yaw: 1.75522, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0326245, Y: 0.102631, Z: 4.22025, Velocity_in: X: -0.00284801, Y: -0.000815448, Z: 0.00250434, Error: X: 0.0326245, Y: 0.102631, Z: 4.22025, 
Current Pose: X: -0.0325933, Y: -0.102661, Z: -4.22053, Yaw: 1.75526, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325933, Y: 0.102661, Z: 4.22053, Velocity_in: X: -0.00238749, Y: -0.000847903, Z: 0.00210239, Error: X: 0.0325933, Y: 0.102661, Z: 4.22053, 
Current Pose: X: -0.032578, Y: -0.102689, Z: -4.22067, Yaw: 1.75532, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.032578, Y: 0.102689, Z: 4.22067, Velocity_in: X: -0.00238599, Y: -0.000674218, Z: 0.00172103, Error: X: 0.032578, Y: 0.102689, Z: 4.22067, 
Current Pose: X: -0.0325659, Y: -0.102731, Z: -4.2209, Yaw: 1.75538, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325659, Y: 0.102731, Z: 4.2209, Velocity_in: X: -0.00274309, Y: -0.00063398, Z: 0.001455, Error: X: 0.0325659, Y: 0.102731, Z: 4.2209, 
Current Pose: X: -0.0325678, Y: -0.102781, Z: -4.22122, Yaw: 1.75543, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325678, Y: 0.102781, Z: 4.22122, Velocity_in: X: -0.00282429, Y: -0.000305403, Z: 0.0015409, Error: X: 0.0325678, Y: 0.102781, Z: 4.22122, 
Current Pose: X: -0.0325745, Y: -0.102822, Z: -4.22155, Yaw: 1.7555, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325745, Y: 0.102822, Z: 4.22155, Velocity_in: X: -0.00265579, Y: -0.000206804, Z: 0.00149198, Error: X: 0.0325745, Y: 0.102822, Z: 4.22155, 
Current Pose: X: -0.0325825, Y: -0.102861, Z: -4.22184, Yaw: 1.75553, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: 0.0325825, Y: 0.102861, Z: 4.22184, Velocity_in: X: -0.00226196, Y: -0.000230875, Z: 0.00148785, Error: X: 0.0325825, Y: 0.102861, Z: 4.22184, 
