Current Pose: X: 0.00243238, Y: -0.00631651, Z: -0.376107, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00243238, Y: 0.00631651, Z: 0.376107, Velocity_in: X: 0.00175965, Y: -0.00204261, Z: 0.00110382, Error: X: -0.00243238, Y: 0.00631651, Z: 0.376107, 
Current Pose: X: 0.0024552, Y: -0.00631969, Z: -0.375913, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.0024552, Y: 0.00631969, Z: 0.375913, Velocity_in: X: 0.0018784, Y: -0.00178454, Z: 0.0011325, Error: X: -0.0024552, Y: 0.00631969, Z: 0.375913, 
Current Pose: X: 0.00246362, Y: -0.00632458, Z: -0.375902, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00246362, Y: 0.00632458, Z: 0.375902, Velocity_in: X: 0.00197886, Y: -0.00163821, Z: 0.00127409, Error: X: -0.00246362, Y: 0.00632458, Z: 0.375902, 
Current Pose: X: 0.00246183, Y: -0.00634491, Z: -0.37592, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00246183, Y: 0.00634491, Z: 0.37592, Velocity_in: X: 0.00196497, Y: -0.00155267, Z: 0.00114711, Error: X: -0.00246183, Y: 0.00634491, Z: 0.37592, 
Current Pose: X: 0.00245027, Y: -0.00636234, Z: -0.375948, Yaw: 1.86241, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00245027, Y: 0.00636234, Z: 0.375948, Velocity_in: X: 0.00204413, Y: -0.00141212, Z: 0.00112967, Error: X: -0.00245027, Y: 0.00636234, Z: 0.375948, 
Current Pose: X: 0.00243739, Y: -0.00636935, Z: -0.375968, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00243739, Y: 0.00636935, Z: 0.375968, Velocity_in: X: 0.00202277, Y: -0.00128975, Z: 0.00091511, Error: X: -0.00243739, Y: 0.00636935, Z: 0.375968, 
Current Pose: X: 0.00241865, Y: -0.00636981, Z: -0.375976, Yaw: 1.86243, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00241865, Y: 0.00636981, Z: 0.375976, Velocity_in: X: 0.00205371, Y: -0.00107361, Z: 0.000875719, Error: X: -0.00241865, Y: 0.00636981, Z: 0.375976, 
Current Pose: X: 0.00239597, Y: -0.00636362, Z: -0.375973, Yaw: 1.86243, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00239597, Y: 0.00636362, Z: 0.375973, Velocity_in: X: 0.00210839, Y: -0.000968324, Z: 0.00102752, Error: X: -0.00239597, Y: 0.00636362, Z: 0.375973, 
Current Pose: X: 0.00236065, Y: -0.00635362, Z: -0.376027, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00236065, Y: 0.00635362, Z: 0.376027, Velocity_in: X: 0.00220996, Y: -0.000856687, Z: 0.00111456, Error: X: -0.00236065, Y: 0.00635362, Z: 0.376027, 
Current Pose: X: 0.00233166, Y: -0.00636377, Z: -0.376073, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00233166, Y: 0.00636377, Z: 0.376073, Velocity_in: X: 0.00244525, Y: -0.000681124, Z: 0.00122497, Error: X: -0.00233166, Y: 0.00636377, Z: 0.376073, 
Current Pose: X: 0.00229939, Y: -0.00636703, Z: -0.376088, Yaw: 1.86242, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00229939, Y: 0.00636703, Z: 0.376088, Velocity_in: X: 0.00251815, Y: -0.000526723, Z: 0.00111646, Error: X: -0.00229939, Y: 0.00636703, Z: 0.376088, 
Current Pose: X: 0.00225903, Y: -0.00635707, Z: -0.375807, Yaw: 1.86241, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00225903, Y: 0.00635707, Z: 0.375807, Velocity_in: X: 0.00253993, Y: -0.000452516, Z: 0.00125238, Error: X: -0.00225903, Y: 0.00635707, Z: 0.375807, 
Current Pose: X: 0.00222958, Y: -0.00633865, Z: -0.375544, Yaw: 1.8624, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00222958, Y: 0.00633865, Z: 0.375544, Velocity_in: X: 0.00258298, Y: -0.000537597, Z: 0.00141245, Error: X: -0.00222958, Y: 0.00633865, Z: 0.375544, 
Current Pose: X: 0.00219728, Y: -0.00630734, Z: -0.375451, Yaw: 1.86239, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00219728, Y: 0.00630734, Z: 0.375451, Velocity_in: X: 0.00284326, Y: -0.000519207, Z: 0.00143229, Error: X: -0.00219728, Y: 0.00630734, Z: 0.375451, 
Current Pose: X: 0.00215424, Y: -0.00626445, Z: -0.375499, Yaw: 1.8624, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00215424, Y: 0.00626445, Z: 0.375499, Velocity_in: X: 0.00306348, Y: -0.00040846, Z: 0.00162058, Error: X: -0.00215424, Y: 0.00626445, Z: 0.375499, 
Current Pose: X: 0.00212766, Y: -0.00625932, Z: -0.375659, Yaw: 1.8624, Target Pose: X: 0, Y: 0, Z: 0, Yaw: 0, Velocity_out: X: -0.00212766, Y: 0.00625932, Z: 0.375659, Velocity_in: X: 0.00329268, Y: -0.000457868, Z: 0.00169484, Error: X: -0.00212766, Y: 0.00625932, Z: 0.375659, 
