Current Pose: X: 0.020469, Y: -0.141830, Z: -0.161339, Yaw: 1.830522, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020434, Y: 0.142281, Z: 0.564925, Velocity_in: X: -0.002132, Y: 0.000807, Z: 0.020357, Error: X: -0.020469, Y: 0.141830, Z: 0.161339, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736415
Current Pose: X: 0.020472, Y: -0.141950, Z: -0.161454, Yaw: 1.830482, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020482, Y: 0.142372, Z: 0.565206, Velocity_in: X: -0.002412, Y: 0.000968, Z: 0.020177, Error: X: -0.020472, Y: 0.141950, Z: 0.161454, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736449
Current Pose: X: 0.020469, Y: -0.142049, Z: -0.161404, Yaw: 1.830488, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020456, Y: 0.142397, Z: 0.564862, Velocity_in: X: -0.002579, Y: 0.000801, Z: 0.020454, Error: X: -0.020469, Y: 0.142049, Z: 0.161404, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736482
Current Pose: X: 0.020458, Y: -0.142172, Z: -0.161366, Yaw: 1.830513, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020419, Y: 0.142603, Z: 0.564741, Velocity_in: X: -0.002745, Y: 0.001482, Z: 0.020877, Error: X: -0.020458, Y: 0.142172, Z: 0.161366, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736514
Current Pose: X: 0.020452, Y: -0.142294, Z: -0.161254, Yaw: 1.830485, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020433, Y: 0.142718, Z: 0.564276, Velocity_in: X: -0.002848, Y: 0.001600, Z: 0.020767, Error: X: -0.020452, Y: 0.142294, Z: 0.161254, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736549
Current Pose: X: 0.020453, Y: -0.142397, Z: -0.161095, Yaw: 1.830519, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020457, Y: 0.142758, Z: 0.563673, Velocity_in: X: -0.003236, Y: 0.001357, Z: 0.020926, Error: X: -0.020453, Y: 0.142397, Z: 0.161095, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736580
Current Pose: X: 0.020431, Y: -0.142528, Z: -0.161222, Yaw: 1.830550, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020352, Y: 0.142986, Z: 0.564404, Velocity_in: X: -0.003495, Y: 0.001592, Z: 0.020931, Error: X: -0.020431, Y: 0.142528, Z: 0.161222, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736617
Current Pose: X: 0.020407, Y: -0.142654, Z: -0.161192, Yaw: 1.830525, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020323, Y: 0.143097, Z: 0.564140, Velocity_in: X: -0.003226, Y: 0.001883, Z: 0.020926, Error: X: -0.020407, Y: 0.142654, Z: 0.161192, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736650
Current Pose: X: 0.020392, Y: -0.142774, Z: -0.161048, Yaw: 1.830491, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020340, Y: 0.143195, Z: 0.563526, Velocity_in: X: -0.003550, Y: 0.001918, Z: 0.021069, Error: X: -0.020392, Y: 0.142774, Z: 0.161048, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736683
Current Pose: X: 0.020391, Y: -0.142847, Z: -0.160986, Yaw: 1.830504, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.020389, Y: 0.143100, Z: 0.563389, Velocity_in: X: -0.003193, Y: 0.001551, Z: 0.020790, Error: X: -0.020391, Y: 0.142847, Z: 0.160986, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1736716
