Current Pose: X: 1.069414, Y: -3.019880, Z: -3.173583, Yaw: 1.925315, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320824, Y: 0.905964, Z: 0.952075, Velocity_in: X: -0.001539, Y: -0.000218, Z: -0.001178, Error: X: -1.069414, Y: 3.019880, Z: 3.173583, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674394
Current Pose: X: 1.069461, Y: -3.019916, Z: -3.173614, Yaw: 1.925522, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320838, Y: 0.905975, Z: 0.952084, Velocity_in: X: -0.001821, Y: -0.000226, Z: -0.001241, Error: X: -1.069461, Y: 3.019916, Z: 3.173614, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674427
Current Pose: X: 1.069507, Y: -3.019943, Z: -3.173707, Yaw: 1.925415, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320852, Y: 0.905983, Z: 0.952112, Velocity_in: X: -0.001749, Y: -0.000495, Z: -0.001419, Error: X: -1.069507, Y: 3.019943, Z: 3.173707, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674459
Current Pose: X: 1.069558, Y: -3.019978, Z: -3.173869, Yaw: 1.925581, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320867, Y: 0.905993, Z: 0.952161, Velocity_in: X: -0.001678, Y: -0.000633, Z: -0.001401, Error: X: -1.069558, Y: 3.019978, Z: 3.173869, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674492
Current Pose: X: 1.069578, Y: -3.020016, Z: -3.174014, Yaw: 1.925564, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320873, Y: 0.906005, Z: 0.952204, Velocity_in: X: -0.001716, Y: -0.000795, Z: -0.001394, Error: X: -1.069578, Y: 3.020016, Z: 3.174014, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674526
Current Pose: X: 1.069590, Y: -3.020060, Z: -3.174169, Yaw: 1.925486, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320877, Y: 0.906018, Z: 0.952251, Velocity_in: X: -0.001761, Y: -0.000689, Z: -0.001434, Error: X: -1.069590, Y: 3.020060, Z: 3.174169, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674558
Current Pose: X: 1.069599, Y: -3.020123, Z: -3.174333, Yaw: 1.925522, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320880, Y: 0.906037, Z: 0.952300, Velocity_in: X: -0.001834, Y: -0.000431, Z: -0.001440, Error: X: -1.069599, Y: 3.020123, Z: 3.174333, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674594
Current Pose: X: 1.069624, Y: -3.020161, Z: -3.174411, Yaw: 1.925449, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320887, Y: 0.906048, Z: 0.952323, Velocity_in: X: -0.001673, Y: -0.000488, Z: -0.001418, Error: X: -1.069624, Y: 3.020161, Z: 3.174411, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674628
Current Pose: X: 1.069663, Y: -3.020194, Z: -3.174530, Yaw: 1.925570, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320899, Y: 0.906058, Z: 0.952359, Velocity_in: X: -0.001788, Y: -0.000364, Z: -0.001455, Error: X: -1.069663, Y: 3.020194, Z: 3.174530, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674660
Current Pose: X: 1.069704, Y: -3.020212, Z: -3.174738, Yaw: 1.925477, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320911, Y: 0.906064, Z: 0.952421, Velocity_in: X: -0.001669, Y: -0.000581, Z: -0.001574, Error: X: -1.069704, Y: 3.020212, Z: 3.174738, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674693
Current Pose: X: 1.069732, Y: -3.020213, Z: -3.174953, Yaw: 1.925543, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320920, Y: 0.906064, Z: 0.952486, Velocity_in: X: -0.001478, Y: -0.000696, Z: -0.001706, Error: X: -1.069732, Y: 3.020213, Z: 3.174953, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674727
Current Pose: X: 1.069726, Y: -3.020246, Z: -3.175159, Yaw: 1.925495, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320918, Y: 0.906074, Z: 0.952548, Velocity_in: X: -0.001265, Y: -0.000837, Z: -0.001750, Error: X: -1.069726, Y: 3.020246, Z: 3.175159, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674759
Current Pose: X: 1.069715, Y: -3.020288, Z: -3.175350, Yaw: 1.925556, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.320914, Y: 0.906086, Z: 0.952605, Velocity_in: X: -0.001399, Y: -0.000618, Z: -0.001586, Error: X: -1.069715, Y: 3.020288, Z: 3.175350, Kp: 0.300000, Ki: 0.000000, Kd: 0.000000, Kp_z: 0.300000, Ki_z: 0.000000, Kd_z: 0.000000, Kp_yaw: 0.300000, Ki_yaw: 0.000000, Kd_yaw: 0.000000, Time: 1674792
