Current Pose: X: -1.228386, Y: 1.782829, Z: -0.567140, Yaw: 1.767881, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228364, Y: -1.782645, Z: 1.985033, Velocity_in: X: -0.004455, Y: -0.000812, Z: 0.000022, Error: X: 1.228386, Y: -1.782829, Z: 0.567140, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207914
Current Pose: X: -1.228386, Y: 1.782768, Z: -0.567238, Yaw: 1.767914, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228387, Y: -1.782555, Z: 1.985429, Velocity_in: X: -0.004579, Y: -0.000617, Z: -0.000053, Error: X: 1.228386, Y: -1.782768, Z: 0.567238, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207947
Current Pose: X: -1.228390, Y: 1.782704, Z: -0.567358, Yaw: 1.767886, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228403, Y: -1.782477, Z: 1.985873, Velocity_in: X: -0.004682, Y: -0.000729, Z: -0.000057, Error: X: 1.228390, Y: -1.782704, Z: 0.567358, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 207981
Current Pose: X: -1.228396, Y: 1.782656, Z: -0.567428, Yaw: 1.767887, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228416, Y: -1.782488, Z: 1.986068, Velocity_in: X: -0.004446, Y: -0.000534, Z: 0.000366, Error: X: 1.228396, Y: -1.782656, Z: 0.567428, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 208013
Current Pose: X: -1.228420, Y: 1.782588, Z: -0.567512, Yaw: 1.767877, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228504, Y: -1.782352, Z: 1.986375, Velocity_in: X: -0.004616, Y: -0.000388, Z: 0.000295, Error: X: 1.228420, Y: -1.782588, Z: 0.567512, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 208046
Current Pose: X: -1.228447, Y: 1.782508, Z: -0.567590, Yaw: 1.767831, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228544, Y: -1.782228, Z: 1.986642, Velocity_in: X: -0.004779, Y: -0.000091, Z: 0.000599, Error: X: 1.228447, Y: -1.782508, Z: 0.567590, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 208079
Current Pose: X: -1.228487, Y: 1.782444, Z: -0.567672, Yaw: 1.767844, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228627, Y: -1.782219, Z: 1.986932, Velocity_in: X: -0.004799, Y: -0.000022, Z: 0.000538, Error: X: 1.228487, Y: -1.782444, Z: 0.567672, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 208115
Current Pose: X: -1.228519, Y: 1.782394, Z: -0.567730, Yaw: 1.767804, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228628, Y: -1.782218, Z: 1.987112, Velocity_in: X: -0.004396, Y: 0.000098, Z: 0.000835, Error: X: 1.228519, Y: -1.782394, Z: 0.567730, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 208148
Current Pose: X: -1.228568, Y: 1.782332, Z: -0.567953, Yaw: 1.767833, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228742, Y: -1.782115, Z: 1.988060, Velocity_in: X: -0.004436, Y: 0.000174, Z: 0.000912, Error: X: 1.228568, Y: -1.782332, Z: 0.567953, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 208182
Current Pose: X: -1.228627, Y: 1.782267, Z: -0.568207, Yaw: 1.767852, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.228833, Y: -1.782042, Z: 1.988977, Velocity_in: X: -0.004450, Y: 0.000295, Z: 0.000325, Error: X: 1.228627, Y: -1.782267, Z: 0.568207, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 208214
