Current Pose: X: 0.064201, Y: -0.446606, Z: -1.057157, Yaw: -3.061121, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064324, Y: 0.446778, Z: 3.700222, Velocity_in: X: -0.000952, Y: 0.003294, Z: 0.006062, Error: X: -0.064201, Y: 0.446606, Z: 1.057157, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293733
Current Pose: X: 0.064226, Y: -0.446647, Z: -1.057250, Yaw: -3.061123, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064312, Y: 0.446789, Z: 3.700470, Velocity_in: X: -0.000590, Y: 0.003337, Z: 0.006439, Error: X: -0.064226, Y: 0.446647, Z: 1.057250, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293737
Current Pose: X: 0.064264, Y: -0.446700, Z: -1.057379, Yaw: -3.061076, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064397, Y: 0.446887, Z: 3.700953, Velocity_in: X: -0.000548, Y: 0.003436, Z: 0.006263, Error: X: -0.064264, Y: 0.446700, Z: 1.057379, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293743
Current Pose: X: 0.064278, Y: -0.446742, Z: -1.057568, Yaw: -3.061060, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064326, Y: 0.446890, Z: 3.701677, Velocity_in: X: -0.000832, Y: 0.003496, Z: 0.005840, Error: X: -0.064278, Y: 0.446742, Z: 1.057568, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293746
Current Pose: X: 0.064287, Y: -0.446766, Z: -1.057566, Yaw: -3.061066, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064321, Y: 0.446849, Z: 3.701479, Velocity_in: X: -0.000853, Y: 0.003800, Z: 0.005823, Error: X: -0.064287, Y: 0.446766, Z: 1.057566, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293753
Current Pose: X: 0.064290, Y: -0.446789, Z: -1.057576, Yaw: -3.061099, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064298, Y: 0.446869, Z: 3.701526, Velocity_in: X: -0.000885, Y: 0.003490, Z: 0.005831, Error: X: -0.064290, Y: 0.446789, Z: 1.057576, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293757
Current Pose: X: 0.064272, Y: -0.446805, Z: -1.057587, Yaw: -3.061140, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064209, Y: 0.446861, Z: 3.701564, Velocity_in: X: -0.000757, Y: 0.003301, Z: 0.005537, Error: X: -0.064272, Y: 0.446805, Z: 1.057587, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293761
Current Pose: X: 0.064234, Y: -0.446811, Z: -1.057585, Yaw: -3.061113, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064102, Y: 0.446835, Z: 3.701544, Velocity_in: X: -0.000146, Y: 0.002957, Z: 0.005431, Error: X: -0.064234, Y: 0.446811, Z: 1.057585, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293767
Current Pose: X: 0.064200, Y: -0.446819, Z: -1.057594, Yaw: -3.061125, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.064082, Y: 0.446844, Z: 3.701587, Velocity_in: X: 0.000377, Y: 0.002766, Z: 0.005171, Error: X: -0.064200, Y: 0.446819, Z: 1.057594, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293773
Current Pose: X: 0.064149, Y: -0.446830, Z: -1.057748, Yaw: -3.061126, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: -0.063968, Y: 0.446870, Z: 3.702274, Velocity_in: X: 0.000446, Y: 0.002684, Z: 0.005110, Error: X: -0.064149, Y: 0.446830, Z: 1.057748, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 293774
