Current Pose: X: -1.262602, Y: -2.164454, Z: 0.628188, Yaw: 1.652268, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262507, Y: 2.164876, Z: -2.198518, Velocity_in: X: -0.004224, Y: -0.001639, Z: 0.000132, Error: X: 1.262602, Y: 2.164454, Z: -0.628188, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022463
Current Pose: X: -1.262577, Y: -2.164579, Z: 0.627988, Yaw: 1.652282, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262486, Y: 2.165015, Z: -2.197760, Velocity_in: X: -0.003954, Y: -0.001720, Z: -0.000041, Error: X: 1.262577, Y: 2.164579, Z: -0.627988, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022495
Current Pose: X: -1.262564, Y: -2.164726, Z: 0.627920, Yaw: 1.652307, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262521, Y: 2.165243, Z: -2.197652, Velocity_in: X: -0.003684, Y: -0.001057, Z: -0.000098, Error: X: 1.262564, Y: 2.164726, Z: -0.627920, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022531
Current Pose: X: -1.262560, Y: -2.164900, Z: 0.627910, Yaw: 1.652328, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262543, Y: 2.165505, Z: -2.197673, Velocity_in: X: -0.003936, Y: -0.000900, Z: 0.000235, Error: X: 1.262560, Y: 2.164900, Z: -0.627910, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022564
Current Pose: X: -1.262571, Y: -2.165022, Z: 0.627914, Yaw: 1.652331, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262610, Y: 2.165450, Z: -2.197703, Velocity_in: X: -0.004308, Y: -0.000529, Z: 0.000147, Error: X: 1.262571, Y: 2.165022, Z: -0.627914, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022597
Current Pose: X: -1.262595, Y: -2.165184, Z: 0.627853, Yaw: 1.652310, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262678, Y: 2.165751, Z: -2.197423, Velocity_in: X: -0.004505, Y: -0.000318, Z: -0.000207, Error: X: 1.262595, Y: 2.165184, Z: -0.627853, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022630
Current Pose: X: -1.262635, Y: -2.165342, Z: 0.627729, Yaw: 1.652337, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262777, Y: 2.165893, Z: -2.196926, Velocity_in: X: -0.004933, Y: -0.000364, Z: -0.000346, Error: X: 1.262635, Y: 2.165342, Z: -0.627729, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022664
Current Pose: X: -1.262667, Y: -2.165455, Z: 0.627611, Yaw: 1.652328, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262778, Y: 2.165851, Z: -2.196523, Velocity_in: X: -0.004895, Y: 0.000342, Z: -0.000247, Error: X: 1.262667, Y: 2.165455, Z: -0.627611, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022696
Current Pose: X: -1.262708, Y: -2.165592, Z: 0.627506, Yaw: 1.652264, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262852, Y: 2.166071, Z: -2.196165, Velocity_in: X: -0.004759, Y: -0.000181, Z: 0.000202, Error: X: 1.262708, Y: 2.165592, Z: -0.627506, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022729
Current Pose: X: -1.262737, Y: -2.165727, Z: 0.627496, Yaw: 1.652264, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262838, Y: 2.166199, Z: -2.196225, Velocity_in: X: -0.005038, Y: -0.000255, Z: 0.000410, Error: X: 1.262737, Y: 2.165727, Z: -0.627496, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022763
Current Pose: X: -1.262759, Y: -2.165812, Z: 0.627488, Yaw: 1.652255, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262837, Y: 2.166109, Z: -2.196199, Velocity_in: X: -0.004867, Y: -0.000377, Z: 0.000364, Error: X: 1.262759, Y: 2.165812, Z: -0.627488, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022796
Current Pose: X: -1.262795, Y: -2.165900, Z: 0.627486, Yaw: 1.652241, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.262921, Y: 2.166207, Z: -2.196200, Velocity_in: X: -0.004852, Y: -0.000266, Z: 0.000722, Error: X: 1.262795, Y: 2.165900, Z: -0.627486, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022831
Current Pose: X: -1.262843, Y: -2.165956, Z: 0.627317, Yaw: 1.652218, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263009, Y: 2.166153, Z: -2.195440, Velocity_in: X: -0.004521, Y: -0.000038, Z: 0.000673, Error: X: 1.262843, Y: 2.165956, Z: -0.627317, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022864
Current Pose: X: -1.262900, Y: -2.165999, Z: 0.627136, Yaw: 1.652188, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263099, Y: 2.166150, Z: -2.194797, Velocity_in: X: -0.003972, Y: 0.000200, Z: 0.000590, Error: X: 1.262900, Y: 2.165999, Z: -0.627136, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022897
Current Pose: X: -1.262944, Y: -2.166016, Z: 0.627015, Yaw: 1.652201, Target Pose: X: 0.000000, Y: 0.000000, Z: 0.000000, Yaw: 0.000000, Velocity_out: X: 1.263097, Y: 2.166075, Z: -2.194429, Velocity_in: X: -0.003921, Y: 0.000282, Z: 0.000734, Error: X: 1.262944, Y: 2.166016, Z: -0.627015, Kp: 1.000000, Ki: 0.000000, Kd: 3.500000, Kp_z: 3.500000, Ki_z: 0.000000, Kd_z: 1.000000, Kp_yaw: 0.500000, Ki_yaw: 0.000000, Kd_yaw: 1.000000, Time: 1022930
